subflow,flow,count,guidelines_subflow,method,confidence,reason
shopping_cart,troubleshoot_site,251,Cart Not Updating,DIRECT,high,"Joined via ontology.json: data subflow 'shopping_cart' is the ontology's entry for the guidelines subflow 'Cart Not Updating' (names differ, so the naive data->guidelines name join does not get it)."
slow_speed,troubleshoot_site,250,Website Too Slow,DIRECT,high,"Joined via ontology.json: data subflow 'slow_speed' is the ontology's entry for the guidelines subflow 'Website Too Slow' (names differ, so the naive data->guidelines name join does not get it)."
status,shipping_issue,268,Shipping Status,DIRECT,high,"Joined via ontology.json: data subflow 'status' is the ontology's entry for the guidelines subflow 'Shipping Status' (names differ, so the naive data->guidelines name join does not get it)."
status_credit_missing,manage_account,114,Status Credit Missing,DIRECT,high,Name matches the ontology/guidelines subflow.
status_delivery_date,order_issue,3,Status Delivery Time,INFERRED,high,"Transcript: 'the delivery date of my order seems to be wrong'. Uses ask-the-oracle + update-order, distinctive to the Status Delivery Time playbook. n=3."
status_delivery_time,order_issue,139,Status Delivery Time,DIRECT,high,Name matches the ontology/guidelines subflow.
status_due_amount,subscription_inquiry,185,Status Due Amount,DIRECT,high,Name matches the ontology/guidelines subflow.
status_due_date,subscription_inquiry,178,Status Due Date,DIRECT,high,Name matches the ontology/guidelines subflow.
status_mystery_fee,order_issue,130,Status Mystery Fee,DIRECT,high,Name matches the ontology/guidelines subflow.
status_payment_method,order_issue,134,Status Payment Method,DIRECT,high,Name matches the ontology/guidelines subflow.
status_quantity,order_issue,135,Status Quantity,DIRECT,high,Name matches the ontology/guidelines subflow.
status_questions,subscription_inquiry,30,Status Active,INFERRED,medium,Transcripts ask 'is my subscription active?'; action trace pull-up-account -> verify-identity -> subscription-status -> send-link matches the Status Active playbook. Generic name; n=30.
status_service_added,manage_account,129,Status Service Added,DIRECT,high,Name matches the ontology/guidelines subflow.
status_service_removed,manage_account,153,Status Service Removed,DIRECT,high,Name matches the ontology/guidelines subflow.
status_shipping_question,manage_account,131,Status Shipping Question,DIRECT,high,Name matches the ontology/guidelines subflow.
timing_1,storewide_query,76,Timing FAQ,VARIANT,high,Numbered variant of timing; the guidelines document one 'Timing FAQ' playbook for all timing questions.
timing_2,storewide_query,63,Timing FAQ,VARIANT,high,Numbered variant of timing; the guidelines document one 'Timing FAQ' playbook for all timing questions.
timing_3,storewide_query,60,Timing FAQ,VARIANT,high,Numbered variant of timing; the guidelines document one 'Timing FAQ' playbook for all timing questions.
timing_4,storewide_query,65,Timing FAQ,VARIANT,high,Numbered variant of timing; the guidelines document one 'Timing FAQ' playbook for all timing questions.
